Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
Deceived,1991-09-27,Thriller/Suspense,PG-13,28738096,57544453,1991,9,September,3,1990,Fall,2.002375279,305,282,0.5268,0.487,$10–50M,Deceived
Ernest Scared Stupid,1991-10-11,Comedy,PG,14143280,28320147,1991,10,October,4,1990,Fall,2.002374767,425,407,0.734,0.7029,$10–50M,Ernest Scared Stupid
Billy Bathgate,1991-11-01,Drama,R,15565363,31167691,1991,11,November,4,1990,Fall,2.002374824,411,390,0.7098,0.6736,$10–50M,Billy Bathgate
Beauty and the Beast,1991-11-13,Musical,G,218951625,363017667,1991,11,November,4,1990,Fall,1.65798115,39,31,0.0674,0.0535,$100–300M,Beauty and the Beast
Father of the Bride,1991-12-20,Comedy,PG,89325780,179821881,1991,12,December,4,1990,Winter,2.013101716,120,98,0.2073,0.1693,$50–100M,Father of the Bride
The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,R,88036683,178831137,1992,1,January,1,1990,Winter,2.031325249,124,99,0.2142,0.171,$50–100M,The Hand That Rocks the Cradle
Medicine Man,1992-02-07,Drama,PG-13,44948240,91304495,1992,2,February,1,1990,Winter,2.031325253,236,199,0.4076,0.3437,$10–50M,Medicine Man
Blame it on the Bellboy,1992-03-06,Comedy,PG-13,2891055,5872667,1992,3,March,1,1990,Spring,2.031323167,541,536,0.9344,0.9257,<$10M,Blame it on the Bellboy
Noises Off...,1992-03-20,Comedy,PG-13,2280148,4631720,1992,3,March,1,1990,Spring,2.031324282,545,543,0.9413,0.9378,<$10M,Noises Off...
Straight Talk,1992-04-03,Comedy,PG,21202099,43068356,1992,4,April,2,1990,Spring,2.031325106,366,339,0.6321,0.5855,$10–50M,Straight Talk
Newsies,1992-04-08,History,PG,2706352,5497481,1992,4,April,2,1990,Spring,2.031325193,542,539,0.9361,0.9309,<$10M,Newsies
Passed Away,1992-04-24,Comedy,PG-13,4030793,8187848,1992,4,April,2,1990,Spring,2.031324357,530,519,0.9154,0.8964,<$10M,Passed Away
Encino Man,1992-05-22,Comedy,PG,40057130,81369058,1992,5,May,2,1990,Spring,2.03132521,252,220,0.4352,0.38,$10–50M,Encino Man
Sister Act,1992-05-29,Comedy,PG,139605150,283583472,1992,5,May,2,1990,Spring,2.031325291,70,50,0.1209,0.0864,$100–300M,Sister Act
Honey I Blew Up the Kid,1992-07-17,Comedy,PG,58662452,119162518,1992,7,July,3,1990,Summer,2.031325216,185,147,0.3195,0.2539,$50–100M,Honey I Blew Up the Kid
A Stranger Among Us,1992-07-17,Drama,PG-13,12282994,24950752,1992,7,July,3,1990,Summer,2.031324936,442,423,0.7634,0.7306,$10–50M,A Stranger Among Us
3 Ninjas,1992-08-07,Action,PG,29028000,58965304,1992,8,August,3,1990,Summer,2.031325065,300,276,0.5181,0.4767,$10–50M,3 Ninjas
A Gun in Betty Lou's Handbag,1992-08-21,Comedy,PG-13,3591460,7295423,1992,8,August,3,1990,Summer,2.031325144,531,526,0.9171,0.9085,<$10M,A Gun in Betty Lou's Handbag
Captain Ron,1992-09-18,Comedy,PG-13,22518097,45741576,1992,9,September,3,1990,Fall,2.031325116,352,328,0.6079,0.5665,$10–50M,Captain Ron
Sarafina!,1992-09-18,Drama,PG-13,7306242,14841352,1992,9,September,3,1990,Fall,2.031324996,491,474,0.848,0.8187,<$10M,Sarafina!
Innocent Blood,1992-09-25,Horror,R,4877567,9907922,1992,9,September,3,1990,Fall,2.031324634,514,508,0.8877,0.8774,<$10M,Innocent Blood
The Mighty Ducks,1992-10-02,Comedy,PG,50752337,103120810,1992,10,October,4,1990,Fall,2.031843578,215,174,0.3713,0.3005,$50–100M,The Mighty Ducks
1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,7099531,14421454,1992,10,October,4,1990,Fall,2.031324886,497,481,0.8584,0.8307,<$10M,1492
Consenting Adults,1992-10-16,Drama,R,21591728,43859823,1992,10,October,4,1990,Fall,2.031325283,358,335,0.6183,0.5786,$10–50M,Consenting Adults
Aladdin,1992-11-11,Comedy,G,217350219,441969178,1992,11,November,4,1990,Fall,2.033442524,40,20,0.0691,0.0345,$100–300M,Aladdin
The Distinguished Gentleman,1992-12-04,Comedy,R,46434570,94349900,1992,12,December,4,1990,Winter,2.031889172,231,187,0.399,0.323,$10–50M,The Distinguished Gentleman
The Muppet Christmas Carol,1992-12-11,Comedy,G,27281507,55417615,1992,12,December,4,1990,Winter,2.031325286,314,288,0.5423,0.4974,$10–50M,The Muppet Christmas Carol
Alive,1993-01-15,Adventure,R,36299670,73914543,1993,1,January,1,1990,Winter,2.036231817,268,235,0.4629,0.4059,$10–50M,Alive
Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,7843388,15970955,1993,1,January,1,1990,Winter,2.036231664,488,470,0.8428,0.8117,<$10M,Aspen Extreme
Homeward Bound: The Incredible Journey,1993-02-03,Adventure,G,41833324,85182343,1993,2,February,1,1990,Winter,2.036231761,249,211,0.4301,0.3644,$10–50M,Homeward Bound
The Cemetery Club,1993-02-03,Comedy,PG-13,5583621,11369541,1993,2,February,1,1990,Winter,2.03623079,509,498,0.8791,0.8601,<$10M,The Cemetery Club
Swing Kids,1993-03-05,Musical,PG-13,5632086,11468231,1993,3,March,1,1990,Spring,2.036231514,508,497,0.8774,0.8584,<$10M,Swing Kids
A Far Off Place,1993-03-12,Adventure,PG,12890752,26248558,1993,3,March,1,1990,Spring,2.036231711,433,414,0.7478,0.715,$10–50M,A Far Off Place
Born Yesterday,1993-03-26,Romantic Comedy,PG,17760754,36165012,1993,3,March,1,1990,Spring,2.036231795,398,364,0.6874,0.6287,$10–50M,Born Yesterday
The Adventures of Huck Finn,1993-04-02,Adventure,PG,24103594,49080505,1993,4,April,2,1990,Spring,2.036231817,338,315,0.5838,0.544,$10–50M,The Adventures of Huck Finn
Bound by Honor,1993-04-16,Romance,R,4496583,9156084,1993,4,April,2,1990,Spring,2.036231512,523,514,0.9033,0.8877,<$10M,Bound by Honor
Indian Summer,1993-04-23,Comedy,R,14717851,29968953,1993,4,April,2,1990,Spring,2.03623158,423,396,0.7306,0.6839,$10–50M,Indian Summer
Super Mario Bros.,1993-05-28,Action,PG,20844907,42445058,1993,5,May,2,1990,Spring,2.036231584,367,343,0.6339,0.5924,$10–50M,Super Mario Bros.
Guilty as Sin,1993-06-04,Thriller/Suspense,R,22622537,46064723,1993,6,June,2,1990,Summer,2.036231524,351,326,0.6062,0.563,$10–50M,Guilty as Sin
Life With Mikey,1993-06-04,Comedy,PG,12349549,25146538,1993,6,June,2,1990,Summer,2.036231283,441,422,0.7617,0.7288,$10–50M,Life With Mikey
What's Love Got to Do With It,1993-06-09,Drama,R,39100956,79618610,1993,6,June,2,1990,Summer,2.0362318,256,222,0.4421,0.3834,$10–50M,What's Love Got to Do With It
Son in Law,1993-07-02,Comedy,PG-13,25989889,52921433,1993,7,July,3,1990,Summer,2.03623159,323,301,0.5579,0.5199,$10–50M,Son in Law
Hocus Pocus,1993-07-16,Comedy,PG,39360491,80147079,1993,7,July,3,1990,Summer,2.036231687,255,221,0.4404,0.3817,$10–50M,Hocus Pocus
Another Stakeout,1993-07-23,Comedy,PG-13,20107504,40943541,1993,7,July,3,1990,Summer,2.036231896,372,349,0.6425,0.6028,$10–50M,Another Stakeout
My Boyfriend's Back,1993-08-06,Comedy,PG-13,3218882,6554384,1993,8,August,3,1990,Summer,2.036229971,538,533,0.9292,0.9206,<$10M,My Boyfriend's Back
Father Hood,1993-08-27,Comedy,PG-13,3268203,6654819,1993,8,August,3,1990,Summer,2.036231837,536,532,0.9257,0.9188,<$10M,Father Hood
The Joy Luck Club,1993-09-08,Drama,R,32790064,66768171,1993,9,September,3,1990,Fall,2.036231799,278,257,0.4801,0.4439,$10–50M,The Joy Luck Club
Money for Nothing,1993-09-10,Comedy,R,1044824,2127496,1993,9,September,3,1990,Fall,2.036224283,554,552,0.9568,0.9534,<$10M,Money for Nothing
The Program,1993-09-24,Action,R,23042200,46919256,1993,9,September,3,1990,Fall,2.03623161,348,323,0.601,0.5579,$10–50M,The Program
Cool Runnings,1993-10-01,Comedy,PG,68856263,140392731,1993,10,October,4,1990,Fall,2.038924636,156,126,0.2694,0.2176,$50–100M,Cool Runnings
The Nightmare Before Christmas,1993-10-13,Musical,PG,50408318,100026637,1993,10,October,4,1990,Fall,1.984328003,217,179,0.3748,0.3092,$50–100M,The Nightmare Before Christmas
The Three Musketeers,1993-11-12,Adventure,PG,53661805,109310377,1993,11,November,4,1990,Fall,2.037023857,202,161,0.3489,0.2781,$50–100M,The Three Musketeers
Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,57319029,116965668,1993,12,December,4,1990,Winter,2.04060798,191,151,0.3299,0.2608,$50–100M,Sister Act 2 Back in the Habit
Tombstone,1993-12-25,Western,R,56505065,115781734,1993,12,December,4,1990,Winter,2.049050541,195,153,0.3368,0.2642,$50–100M,Tombstone
